station_name,date_month,TAVG,TAVG_C
"LAGUARDIA AIRPORT, NY US",1994-01-01,25.8,-3.44
"LAGUARDIA AIRPORT, NY US",1994-02-01,30.2,-1
"LAGUARDIA AIRPORT, NY US",1994-03-01,40.5,4.72
"LAGUARDIA AIRPORT, NY US",1994-04-01,55.5,13.06
"LAGUARDIA AIRPORT, NY US",1994-05-01,62.1,16.72
"LAGUARDIA AIRPORT, NY US",1994-06-01,75.6,24.22
"LAGUARDIA AIRPORT, NY US",1994-07-01,80.6,27
"LAGUARDIA AIRPORT, NY US",1994-08-01,75.3,24.06
"LAGUARDIA AIRPORT, NY US",1994-09-01,68.8,20.44
"LAGUARDIA AIRPORT, NY US",1994-10-01,58.3,14.61
"LAGUARDIA AIRPORT, NY US",1994-11-01,51.8,11
"LAGUARDIA AIRPORT, NY US",1994-12-01,42.3,5.72
"LAGUARDIA AIRPORT, NY US",1995-01-01,37.9,3.28
"LAGUARDIA AIRPORT, NY US",1995-02-01,31.8,-0.11
"LAGUARDIA AIRPORT, NY US",1995-03-01,45,7.22
"LAGUARDIA AIRPORT, NY US",1995-04-01,52,11.11
"LAGUARDIA AIRPORT, NY US",1995-05-01,62.4,16.89
"LAGUARDIA AIRPORT, NY US",1995-06-01,72.4,22.44
"LAGUARDIA AIRPORT, NY US",1995-07-01,79.8,26.56
"LAGUARDIA AIRPORT, NY US",1995-08-01,79.1,26.17
"LAGUARDIA AIRPORT, NY US",1995-09-01,68.6,20.33
"LAGUARDIA AIRPORT, NY US",1995-10-01,63,17.22
"LAGUARDIA AIRPORT, NY US",1995-11-01,45.2,7.33
"LAGUARDIA AIRPORT, NY US",1995-12-01,34.1,1.17
"LAGUARDIA AIRPORT, NY US",1996-01-01,32,0
"LAGUARDIA AIRPORT, NY US",1996-02-01,35.1,1.72
"LAGUARDIA AIRPORT, NY US",1996-03-01,40,4.44
"LAGUARDIA AIRPORT, NY US",1996-04-01,52.2,11.22
"LAGUARDIA AIRPORT, NY US",1996-05-01,61,16.11
"LAGUARDIA AIRPORT, NY US",1996-06-01,71.5,21.94
"LAGUARDIA AIRPORT, NY US",1996-07-01,74.6,23.67
"LAGUARDIA AIRPORT, NY US",1996-08-01,75.6,24.22
"LAGUARDIA AIRPORT, NY US",1996-09-01,69.8,21
"LAGUARDIA AIRPORT, NY US",1996-10-01,57.9,14.39
"LAGUARDIA AIRPORT, NY US",1996-11-01,43.9,6.61
"LAGUARDIA AIRPORT, NY US",1996-12-01,41.8,5.44
"LAGUARDIA AIRPORT, NY US",1997-01-01,32.7,0.39
"LAGUARDIA AIRPORT, NY US",1997-02-01,40.4,4.67
"LAGUARDIA AIRPORT, NY US",1997-03-01,42,5.56
"LAGUARDIA AIRPORT, NY US",1997-04-01,52.6,11.44
"LAGUARDIA AIRPORT, NY US",1997-05-01,60,15.56
"LAGUARDIA AIRPORT, NY US",1997-06-01,72.4,22.44
"LAGUARDIA AIRPORT, NY US",1997-07-01,77.1,25.06
"LAGUARDIA AIRPORT, NY US",1997-08-01,75,23.89
"LAGUARDIA AIRPORT, NY US",1997-09-01,68.7,20.39
"LAGUARDIA AIRPORT, NY US",1997-10-01,58.3,14.61
"LAGUARDIA AIRPORT, NY US",1997-11-01,45.4,7.44
"LAGUARDIA AIRPORT, NY US",1997-12-01,39.1,3.94
"LAGUARDIA AIRPORT, NY US",1998-01-01,40.2,4.56
"LAGUARDIA AIRPORT, NY US",1998-02-01,40.8,4.89
"LAGUARDIA AIRPORT, NY US",1998-03-01,45,7.22
"LAGUARDIA AIRPORT, NY US",1998-04-01,53.8,12.11
