id,observed_on,quality_grade,place_guess,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name
5740011,2017-04-15,needs_id,"Van Cortlandt Park, New York, NY, US",40.89118333,-73.893875,Running Crab Spiders,Philodromidae,Running Crab Spiders,Arachnida
6709308,2017-06-17,research,"Broadway and Vancortlandt Park S, Bronx, NY 10462, United States",40.8979346,-73.8859514,Leucauge venusta,Leucauge venusta,Orchard Orbweaver,Arachnida
6860081,2017-06-30,research,"Van Cortlandt Park, New York, NY, US",40.90817167,-73.88923667,Whitman's Jumping Spider,Phidippus whitmani,Whitman's Jumping Spider,Arachnida
16335616,2018-09-08,research,Van Cortlandt Park,40.888975,-73.8799,Spined Micrathena,Micrathena gracilis,Spined Micrathena,Arachnida
256690496,2018-10-06,research,"Van Cortlandt Park, New York, NY, US",40.89355833,-73.891495,Spotted Orbweaver,Neoscona crucifera,Spotted Orbweaver,Arachnida
27272267,2019-06-19,needs_id,"Van Cortlandt Park, New York, NY, US",40.9029181,-73.89448302,Trochosa,Trochosa,,Arachnida
27280656,2019-06-19,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.89539667,-73.89150333,,Oxyopes,Grass Lynx Spiders,Arachnida
27287691,2019-06-19,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.89576781,-73.8914815,Tangleweb Spiders,Theridion,,Arachnida
27287715,2019-06-19,research,"Van Cortlandt Park Golf Course, New York, NY, US",40.89539667,-73.89150333,Striped Lynx Spider,Oxyopes salticus,Striped Lynx Spider,Arachnida
27581629,2019-06-24,research,"Van Cortlandt Park, New York, NY, US",40.90723164,-73.89440708,Sylvan Jumping Spider,Colonus sylvanus,Sylvan Jumping Spider,Arachnida
27582098,2019-06-24,research,"Van Cortlandt Park, New York, NY, US",40.90693731,-73.89350988,Orchard Orbweaver,Leucauge venusta,Orchard Orbweaver,Arachnida
27813048,2019-06-28,needs_id,"Van Cortlandt Park, New York, NY, US",40.897655,-73.88215,Ghost Spiders,Anyphaena,,Arachnida
28297300,2019-07-06,needs_id,"Van Cortlandt Park, New York, NY, US",40.90735301,-73.89033481,,Dysdera crocata,Woodlouse Spider,Arachnida
28383737,2019-07-07,research,"Van Cortlandt Park, New York, NY, US",40.90240772,-73.89408756,Thin-spined Jumping Spider,Tutelina elegans,Thin-spined Jumping Spider,Arachnida
28555664,2019-07-10,needs_id,"Van Cortlandt Park, New York, NY, US",40.89207483,-73.88930715,Fishing Spiders,Dolomedes triton,Six-spotted Fishing Spider,Arachnida
28676832,2019-07-12,research,"Van Cortlandt Park, Yonkers, NY, US",40.90805772,-73.88580381,Spined Micrathena,Micrathena gracilis,Spined Micrathena,Arachnida
29411931,2019-07-23,research,"Van Cortlandt Park, New York, NY, US",40.90339536,-73.87275312,Northern Black Widow,Latrodectus variolus,Northern Black Widow,Arachnida
29554260,2019-07-25,research,"Van Cortlandt Park Golf Course, New York, NY, US",40.89298833,-73.89033667,Spined Micrathena,Micrathena gracilis,Spined Micrathena,Arachnida
29578748,2019-07-26,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.892525,-73.889855,Dolomedes triton,Dolomedes triton,Six-spotted Fishing Spider,Arachnida
