id,observed_on,quality_grade,place_guess,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name
5739788,2017-04-15,needs_id,"Van Cortlandt Park, New York, NY, US",40.893455,-73.8964,Coenosiinae,Coenosiinae,,Insecta
6860307,2017-06-30,needs_id,"Van Cortlandt Park, New York, NY, US",40.90840833,-73.88883833,Muscoid Flies,Muscoidea,Muscoid Flies,Insecta
12498951,2018-05-14,needs_id,"Van Cortlandt Park, New York, NY, US",40.902725,-73.89443833,Sunflower Maggot Fly,Strauzia longipennis,Sunflower Maggot Fly,Insecta
12500344,2018-05-14,needs_id,"Van Cortlandt Park, New York, NY, US",40.90113,-73.89254667,Empis,Empis,,Insecta
16144217,2018-09-02,research,"Van Cortlandt Park, New York, NY, US",40.90153,-73.88635333,Cordyligaster septentrionalis,Cordyligaster septentrionalis,,Insecta
16145089,2018-09-02,research,"Van Cortlandt Park Golf Course, New York, NY, US",40.904575,-73.885345,Gnat Ogres,Holcocephala,Gnat Ogres,Insecta
16147527,2018-09-02,needs_id,"Van Cortlandt Park, New York, NY, US",40.88955,-73.89412,Urophora,Urophora,,Insecta
16796892,2018-09-22,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.89599782,-73.89127915,Liriomyza,Liriomyza,Liriomyza leaf-mining flies,Insecta
23750465,2019-04-28,research,"Van Cortlandt Park, New York, NY, US",40.90507833,-73.883225,Eastern Calligrapher,Toxomerus geminatus,Eastern Calligrapher,Insecta
23753074,2019-04-28,needs_id,"Van Cortlandt Park, New York, NY, US",40.9058,-73.88503333,Syrphinae,Syrphini,,Insecta
23927599,2019-04-29,needs_id,"Van Cortlandt Park, New York, NY, US",40.90203169,-73.88615736,Xylotina,Xylotina,,Insecta
27122463,2019-06-16,research,"Van Cortlandt Park Golf Course, New York, NY, US",40.89702,-73.887695,Marsh Snipe Fly,Rhagio tringarius,Marsh Snipe Fly,Insecta
27269211,2019-06-19,needs_id,"Van Cortlandt Park, New York, NY, US",40.90287426,-73.89428579,Condylostylus comatus,Condylostylus comatus,,Insecta
27269260,2019-06-19,needs_id,"Van Cortlandt Park, New York, NY, US",40.90293076,-73.89423458,Condylostylus,Condylostylus,,Insecta
27269291,2019-06-19,needs_id,"Van Cortlandt Park, New York, NY, US",40.90292703,-73.89424128,Amblypsilopus,Amblypsilopus,,Insecta
27581939,2019-06-24,research,"Van Cortlandt Park, New York, NY, US",40.90708001,-73.89376787,Cordyligaster septentrionalis,Cordyligaster septentrionalis,,Insecta
27791684,2019-06-27,needs_id,"Van Cortlandt Park, New York, NY, US",40.89228833,-73.89009167,Condylostylus comatus,Condylostylus comatus,,Insecta
27823081,2019-06-28,needs_id,"Van Cortlandt Park, New York, NY, US",40.90046333,-73.891395,,Tipulomorpha,Crane Flies,Insecta
28448437,2019-07-08,research,"Van Cortlandt Park, New York, NY, US",40.90544167,-73.88249167,Toxonevra superba,Toxonevra superba,Antlered Flutter Fly,Insecta
28523359,2019-07-09,research,"Van Cortlandt Park, New York, NY, US",40.9028346,-73.89446383,Clubbed Mydas Fly,Mydas clavatus,Clubbed Mydas Fly,Insecta
28724781,2019-07-13,needs_id,"Van Cortlandt Park, New York, NY, US",40.8909881,-73.89452158,,Lucilia,Greenbottle Flies,Insecta
28877878,2019-07-15,needs_id,"Van Cortlandt Park, New York, NY, US",40.89034667,-73.89495833,Hanging Thieves,Diogmites,Hanging Thieves,Insecta
28887683,2019-07-15,needs_id,"Van Cortlandt Park, New York, NY, US",40.90281332,-73.89448541,Efferia,Efferia aestuans,Northeastern Hammertail,Insecta
28937021,2019-07-16,needs_id,"Van Cortlandt Park, New York, NY, US",40.90273425,-73.89444949,Condylostylus sipho group,Condylostylus sipho,,Insecta
28998885,2019-07-17,research,"Van Cortlandt Park, New York, NY, US",40.8960902,-73.89147366,Physocephala tibialis,Physocephala tibialis,,Insecta
29124121,2019-07-19,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.89442833,-73.88976333,Cluster Flies,Pollenia,Cluster Flies,Insecta
29508347,2019-07-25,research,"Van Cortlandt Park, New York, NY, US",40.89026323,-73.89520646,Clubbed Mydas Fly,Mydas clavatus,Clubbed Mydas Fly,Insecta
30691675,2019-08-12,research,"Van Cortlandt Park, New York, NY, US",40.90278195,-73.89444075,Common Picture-winged Fly,Delphinia picta,Common Picture-winged Fly,Insecta
30693964,2019-07-30,needs_id,"Van Cortlandt Park, New York, NY, US",40.90288638,-73.89439909,Crane Flies,Tipulomorpha,Crane Flies,Insecta
32592218,2019-09-12,research,"Van Cortlandt Park, New York, NY, US",40.90637786,-73.88618812,Transverse-banded Flower Fly,Eristalis transversa,Transverse-banded Flower Fly,Insecta
33510387,2019-09-27,research,"Van Cortlandt Park Golf Course, New York, NY, US",40.89399667,-73.89118833,Dilophus spinipes,Dilophus spinipes,,Insecta
33915291,2019-09-27,research,"Van Cortlandt Park, New York, NY, US",40.89399667,-73.89118833,Dilophus spinipes,Dilophus spinipes,,Insecta
42671522,2020-04-19,needs_id,"Van Cortlandt Park, New York, NY, US",40.90208077,-73.89124496,Brachyceran Flies,Brachycera,Brachyceran Flies,Insecta
49241940,2020-06-11,research,"Van Cortlandt Park, New York, NY, US",40.90642555,-73.88618334,Jewelweed Leaf-miner Fly,Phytoliriomyza melampyga,Jewelweed Leaf-miner Fly,Insecta
49243767,2020-06-11,needs_id,"Van Cortlandt Park, New York, NY, US",40.90688023,-73.8862395,"Bot Flies, Blow Flies, and Allies",Oestroidea,"Bot Flies, Blow Flies, and Allies",Insecta
49244585,2020-06-11,research,"Van Cortlandt Park, New York, NY, US",40.90686667,-73.88621333,Cordyligaster septentrionalis,Cordyligaster septentrionalis,,Insecta
49845544,2020-06-16,needs_id,"Van Cortlandt Park, New York, NY, US",40.90289695,-73.89429551,,Strauzia,,Insecta
49845693,2020-06-16,needs_id,"Van Cortlandt Park, New York, NY, US",40.9029292,-73.89437101,Calyptrate Flies,Calyptratae,Calyptrate Flies,Insecta
51782348,2020-06-30,needs_id,"Van Cortlandt Park, New York, NY, US",40.89237,-73.88997833,Brachyceran Flies,Brachycera,Brachyceran Flies,Insecta
52252496,2020-07-07,needs_id,"Van Cortlandt Lake, New York, NY, US",40.88935,-73.89302,,Sepedon,Snail-killing Flies,Insecta
52382455,2020-07-08,research,"Van Cortlandt Park, New York, NY, US",40.89085059,-73.89379371,Clubbed Mydas Fly,Mydas clavatus,Clubbed Mydas Fly,Insecta
58029077,2020-08-30,research,"Van Cortlandt Park, New York, NY, US",40.88982833,-73.89368333,Amblypsilopus scintillans,Amblypsilopus scintillans,,Insecta
59489898,2020-09-13,research,"Van Cortlandt Park, New York, NY, US",40.90503,-73.88527833,Eupeodes americanus,Eupeodes americanus,Long-tailed Aphideater Complex,Insecta
59695262,2020-09-15,research,"Van Cortlandt Park, New York, NY, US",40.89204923,-73.89457549,Amblypsilopus scintillans,Amblypsilopus scintillans,,Insecta
59707432,2020-09-15,research,"Van Cortlandt Park, New York, NY, US",40.8896846,-73.89432298,Oak Leaf Gall Midge,Polystepha pilulae,Oak Leaf Gall Midge,Insecta
60754581,2020-09-25,research,"Van Cortlandt Park, New York, NY, US",40.89002917,-73.89513278,Narrow-headed Marsh Fly,Helophilus fasciatus,Narrow-headed Marsh Fly,Insecta
60754715,2020-09-25,research,"Van Cortlandt Park, New York, NY, US",40.89033733,-73.89515332,Dilophus spinipes,Dilophus spinipes,,Insecta
64407091,2020-11-07,needs_id,"Van Cortlandt Stadium, New York, NY, US",40.88818667,-73.89803333,,Calliphoridae,Blow Flies,Insecta
72952564,2021-04-04,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.88905833,-73.89273833,,Calliphora,Bluebottle Flies,Insecta
75151293,2021-04-24,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.887245,-73.89552167,Flesh Flies,Sarcophagidae,Flesh Flies and Satellite Flies,Insecta
76487222,2021-05-01,needs_id,"Van Cortlandt Park, New York, NY, US",40.886605,-73.896605,Blow Flies,Calliphoridae,Blow Flies,Insecta
76665737,2021-05-02,research,"Van Cortlandt Park Golf Course, New York, NY, US",40.888755,-73.89195333,White-winged March Fly,Bibio albipennis,White-winged March Fly,Insecta
78782235,2021-05-14,needs_id,"Van Cortlandt Lake, New York, NY, US",40.889205,-73.89286167,Schizophoran Flies,Schizophora,Schizophoran Flies,Insecta
79099547,2021-05-16,research,"Van Cortlandt Park Golf Course, New York, NY, US",40.88915,-73.893045,Peacock Fly,Callopistromyia annulipes,Peacock Fly,Insecta
79723808,2021-05-21,needs_id,"Van Cortlandt Park, New York, NY, US",40.89751167,-73.890275,Woodland Pool Mosquito,Aedes canadensis,Woodland Pool Mosquito,Insecta
80673369,2021-05-28,needs_id,"Van Cortlandt Park, New York, NY, US",40.90247833,-73.87558667,,Calliphoridae,Blow Flies,Insecta
80673872,2021-05-28,needs_id,"Van Cortlandt Park, New York, NY, US",40.90221167,-73.87525833,,Calliphora,Bluebottle Flies,Insecta
80674032,2021-05-28,needs_id,"Van Cortlandt Park, New York, NY, US",40.90055,-73.87426667,,Muscoidea,Muscoid Flies,Insecta
80691777,2021-05-28,needs_id,"Van Cortlandt Park, New York, NY, US",40.88944167,-73.89569167,,Calliphora,Bluebottle Flies,Insecta
81384945,2021-06-02,research,"Van Cortlandt Park, New York, NY, US",40.890055,-73.89523833,Condylostylus caudatus,Condylostylus caudatus,,Insecta
81385318,2021-06-02,needs_id,"Van Cortlandt Park, New York, NY, US",40.89012,-73.89507167,Woodland Pool Mosquito,Aedes canadensis,Woodland Pool Mosquito,Insecta
81666441,2021-06-04,research,"Van Cortlandt Park, New York, NY, US",40.90203728,-73.88636543,Margined Calligrapher,Toxomerus marginatus,Margined Calligrapher,Insecta
81667535,2021-06-04,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.89847533,-73.88712867,,Steganinae,,Insecta
81672216,2021-06-04,needs_id,"Van Cortlandt Stadium, New York, NY, US",40.88816333,-73.89536333,Calyptrate Flies,Calyptratae,Calyptrate Flies,Insecta
81672427,2021-06-04,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.88943833,-73.89189167,Coenosia tigrina,Coenosia tigrina,Common Tiger Fly,Insecta
81977074,2021-06-05,needs_id,"Van Cortlandt Park, New York, NY, US",40.89064833,-73.89591167,,Diptera,Flies,Insecta
81977853,2021-06-06,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.889405,-73.89199833,Condylostylus caudatus,Condylostylus caudatus,,Insecta
81978397,2021-06-06,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.889405,-73.89199667,Black Scavenger Flies,Sepsidae,Black Scavenger Flies,Insecta
81978561,2021-06-06,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.88917884,-73.89308039,Rocky Mountain bite flies,Symphoromyia,Rocky Mountain bite flies,Insecta
81978872,2021-06-06,needs_id,"Van Cortlandt Park, New York, NY, US",40.88947,-73.894195,Muscoid Flies,Muscoidea,Muscoid Flies,Insecta
82364261,2021-06-09,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.88907,-73.89267833,Flesh Flies,Sarcophagidae,Flesh Flies and Satellite Flies,Insecta
82370031,2021-06-09,research,"Van Cortlandt Park, New York, NY, US",40.90723833,-73.88563667,Toxonevra superba,Toxonevra superba,Antlered Flutter Fly,Insecta
82370304,2021-06-09,research,"Van Cortlandt Park, New York, NY, US",40.90734667,-73.88572,Dolichopus reflectus,Dolichopus reflectus,,Insecta
82634227,2021-06-11,needs_id,"Van Cortlandt Park, New York, NY, US",40.907445,-73.88570333,Non-biting Midges,Chironomidae,Non-biting Midges,Insecta
82634259,2021-06-11,needs_id,"Van Cortlandt Park, New York, NY, US",40.90734667,-73.88567167,Комары-звонцы,Chironomidae,Non-biting Midges,Insecta
82634374,2021-06-11,needs_id,"Van Cortlandt Park, New York, NY, US",40.90734667,-73.88567167,Nematoceran Flies,Nematocera,Nematoceran Flies,Insecta
82634657,2021-06-11,research,"Van Cortlandt Lake, New York, NY, US",40.88948833,-73.89188333,Eastern Calligrapher,Toxomerus geminatus,Eastern Calligrapher,Insecta
82634724,2021-06-11,needs_id,"Van Cortlandt Park, New York, NY, US",40.88945,-73.89607167,Coenosia tigrina,Coenosia tigrina,Common Tiger Fly,Insecta
82634911,2021-06-11,research,"Van Cortlandt Park, New York, NY, US",40.889555,-73.896095,Chrysopilus rotundipennis,Chrysopilus rotundipennis,,Insecta
82635010,2021-06-11,needs_id,"Van Cortlandt Park, New York, NY, US",40.88961333,-73.89616333,Schizophoran Flies,Schizophora,Schizophoran Flies,Insecta
82635152,2021-06-11,research,"Van Cortlandt Park, New York, NY, US",40.88959167,-73.89613333,Chrysopilus rotundipennis,Chrysopilus rotundipennis,,Insecta
82770758,2021-06-12,needs_id,"Van Cortlandt Park, New York, NY, US",40.890125,-73.89458667,Mosquitoes and Midges,Culicomorpha,Mosquitoes and Midges,Insecta
82771027,2021-06-12,needs_id,"Van Cortlandt Park, New York, NY, US",40.890125,-73.894585,,Tipulinae,,Insecta
82771229,2021-06-12,needs_id,"Van Cortlandt Park, New York, NY, US",40.89013667,-73.89459167,Woodland Pool Mosquito,Aedes canadensis,Woodland Pool Mosquito,Insecta
82771384,2021-06-12,needs_id,"Van Cortlandt Park, New York, NY, US",40.89017167,-73.89463833,,Culicidae,Mosquitoes,Insecta
82771547,2021-06-12,needs_id,"Van Cortlandt Park, New York, NY, US",40.89014833,-73.89468333,,Culicidae,Mosquitoes,Insecta
82771697,2021-06-12,needs_id,"Van Cortlandt Park, New York, NY, US",40.89014833,-73.89468333,Calyptrate Flies,Calyptratae,Calyptrate Flies,Insecta
82771874,2021-06-12,needs_id,"Van Cortlandt Park, New York, NY, US",40.89013333,-73.89457,,Culicidae,Mosquitoes,Insecta
82772697,2021-06-12,needs_id,"Van Cortlandt Park, New York, NY, US",40.88996833,-73.894615,Aedes,Aedes,,Insecta
82773032,2021-06-12,needs_id,"Van Cortlandt Park, New York, NY, US",40.88934333,-73.894355,Woodland Pool Mosquito,Aedes canadensis,Woodland Pool Mosquito,Insecta
82773746,2021-06-12,needs_id,"Van Cortlandt Park, New York, NY, US",40.89034931,-73.89433321,Aedes,Aedes,,Insecta
82773952,2021-06-12,needs_id,"Van Cortlandt Park, New York, NY, US",40.89030054,-73.89453659,Woodland Pool Mosquito,Aedes canadensis,Woodland Pool Mosquito,Insecta
82774039,2021-06-12,needs_id,"Van Cortlandt Park, New York, NY, US",40.88996833,-73.894615,Woodland Pool Mosquito,Aedes canadensis,Woodland Pool Mosquito,Insecta
