OBJECTID,DBH,TPStructure,TPCondition,StumpDiameter,PlantingSpaceGlobalID,Geometry,GlobalID,GenusSpecies,CreatedDate,UpdatedDate,PlantedDate,RiskRating,RiskRatingDate,Lat,Long
162892,0,Retired,Fair,,19D9DAD7-321C-496A-B32A-9F425CA0F260,POINT(-73.8888522296111 40.88453991819562),CE76EACA-DB55-4B1E-82AF-60DE515E49F5,Acer rubrum - red maple,19:00.0,14:57.0,,,,-73.88885223,40.88453992
252771,21,Retired,Dead,,5B7E5BA1-62E2-4A9C-8E96-10D59DFB7893,POINT(-73.89774367842259 40.90627138344778),5B25CDF7-EF49-40FB-BF0B-A1E025E3C568,Acer rubrum - red maple,15:00.0,03:00.0,,,,-73.89774368,40.90627138
570661,9,Full,Fair,,4971166E-DEC0-4D40-972C-0B21193774AC,POINT(-73.89982869774909 40.877708433861514),66BEDB65-5229-4F0B-B073-8846C3B31E9E,Acer rubrum - red maple,24:54.0,41:02.0,,6,41:02.0,-73.8998287,40.87770843
570662,8,Retired,Dead,,835DB4A6-C26E-446A-95A9-C8D261AB330C,POINT(-73.89980926303771 40.87772074351887),85C70C2B-BA35-40E1-BF21-09E29B0BE023,Acer rubrum - red maple,24:00.0,40:00.0,,8,07:00.0,-73.89980926,40.87772074
570663,7,Full,Fair,,3365C775-E012-4481-896B-BB4A2005952E,POINT(-73.89976262060306 40.877750287941744),AED56777-35D1-49E8-AE71-B30382DB8138,Acer rubrum - red maple,24:55.0,23:46.0,,5,23:46.0,-73.89976262,40.87775029
578157,,Stump,Dead,23,8D1F5E08-51F4-4E91-AFEE-EDA40BBD27A6,POINT(-73.90017388151817 40.91114996768214),EE45679C-D070-4C58-93C2-11547FB7A51A,Acer rubrum - red maple,45:00.0,50:47.0,,9,23:00.0,-73.90017388,40.91114997
578159,25,Full,Fair,,44A6E16D-9033-45E0-8DA5-7952ADA09D54,POINT(-73.90019709446626 40.91106196201273),CDAAE65E-A266-49A9-9495-501BDE6A6BFF,Acer rubrum - red maple,45:03.0,46:39.0,,6,46:39.0,-73.90019709,40.91106196
579161,2,Full,Good,,BDE8F4AA-1E9D-43BD-A934-1A2C51C02A35,POINT(-73.87941706980217 40.87803489202841),7A2BB0F5-6838-4EC3-960F-9ED8EF905DEF,Acer rubrum - red maple,47:40.0,16:31.0,,3,16:31.0,-73.87941707,40.87803489
579170,3,Full,Good,,D80EF587-01E2-42CF-90F9-DBAC0B3E9FA5,POINT(-73.87916541436303 40.87878042304386),F0C799B4-707E-43FC-8627-AB62AEFBC521,Acer rubrum - red maple,47:42.0,31:52.0,,3,31:52.0,-73.87916541,40.87878042
579171,3,Full,Good,,A2663365-D9CD-4EDB-92D5-30694850B339,POINT(-73.8791365148378 40.878866035197824),9297EC56-2144-4EEC-BA05-4A04AAF1CD53,Acer rubrum - red maple,47:42.0,46:49.0,,3,46:49.0,-73.87913651,40.87886604
579172,2,Full,Good,,255EF506-4BA1-4DBB-A516-DE7C856D70E5,POINT(-73.87911892391364 40.878918148779384),2D276479-2E8B-4B85-8A23-9E54BBFE4AAD,Acer rubrum - red maple,47:42.0,47:41.0,,5,47:41.0,-73.87911892,40.87891815
579174,7,Full,Good,,BAAA151D-8B3F-4793-A243-BF4ADCA0B8DE,POINT(-73.87906902323007 40.87906597824977),CB1F2A6E-C345-48DC-9507-47C7255A0FFD,Acer rubrum - red maple,47:42.0,49:22.0,,6,49:22.0,-73.87906902,40.87906598
579187,14,Full,Good,,999217B0-5214-495B-9814-AF03C120851B,POINT(-73.87474826485295 40.87296405743123),9FBFA604-D3BF-4F0B-9EAE-ACBF1B841AA4,Acer rubrum - red maple,47:44.0,30:29.0,,8,30:29.0,-73.87474826,40.87296406
580572,7,Full,Good,,AB71C43F-C236-4FC2-BFDB-FFCA4F673FF5,POINT(-73.90861434270305 40.88402279803587),24251499-46FA-4B09-850F-697703453B22,Acer rubrum - red maple,51:26.0,20:54.0,,3,20:54.0,-73.90861434,40.8840228
580589,4,Full,Good,,4D610080-38BD-43E8-923F-63019C8C2977,POINT(-73.9090165993761 40.88530686270581),9F76CC91-5250-4C1E-A117-0CBAB1D1C869,Acer rubrum - red maple,51:29.0,22:50.0,,6,22:50.0,-73.9090166,40.88530686
582410,5,Retired,Dead,7,AE1570E7-6543-46DD-BAAC-5A5F79D4124D,POINT(-73.89238183846248 40.88252489556143),C46D5518-6641-49DD-951A-7BCA0640D071,Acer rubrum - red maple,56:27.0,35:15.0,,9,28:47.0,-73.89238184,40.8825249
582663,7,Full,Fair,,F48E1116-8DAC-41A2-B135-31D643717BAC,POINT(-73.89683067331154 40.88337448435395),B0706D2E-9BDF-43EC-862E-4FC25A711D95,Acer rubrum - red maple,57:10.0,10:11.0,,3,10:11.0,-73.89683067,40.88337448
