id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,DBH,TPStructure,TPCondition,StumpDiameter,PlantingSpaceGlobalID,GlobalID,GenusSpecies,CreatedDate,UpdatedDate,PlantedDate,RiskRating,RiskRatingDate,Lat,Long
real_red_maple_tree_data.439,,,,,,,-1,0,-1,,,4879831,9,Full,Fair,,86038C75-58FC-4936-994A-FF0F615CA881,4EAEA0EE-E9D6-47C0-8956-2F68E761E4A0,Acer rubrum - red maple,49:16.0,47:58.0,,,,-73.89897031,40.88695972
real_red_maple_tree_data.440,,,,,,,-1,0,-1,,,4879832,9,Full,Fair,,27D22275-D256-4460-BBFE-38A7ABCAF189,DB5A2AA9-D114-40AB-A565-427A1F3914EF,Acer rubrum - red maple,48:44.0,45:40.0,,,,-73.89907212,40.88689951
real_red_maple_tree_data.441,,,,,,,-1,0,-1,,,4879833,9,Full,Fair,,A59A3BEE-E014-4221-A042-ACB560DEEE51,C8409ACF-1949-4C6C-9DAA-4E8CB97B4DAD,Acer rubrum - red maple,48:04.0,44:51.0,,,,-73.89910986,40.88685309
real_red_maple_tree_data.442,,,,,,,-1,0,-1,,,4879836,11,Full,Fair,,ABD20C3F-79A3-4F8D-B0E4-749C2960BA3F,F94C4DE7-E795-4BB1-9CA3-14D385D3CE9A,Acer rubrum - red maple,44:27.0,45:44.0,,,,-73.89886546,40.88675056
real_red_maple_tree_data.443,,,,,,,-1,0,-1,,,4879837,10,Full,Fair,,C9E10281-EF91-49A6-8DFE-BCAEF290B069,C3BC384E-B971-489E-9A44-AF29226EB95E,Acer rubrum - red maple,43:42.0,45:12.0,,,,-73.89875474,40.88678798
real_red_maple_tree_data.444,,,,,,,-1,0,-1,,,4879840,11,Full,Fair,,16C0F736-5B3B-4398-9B74-84744D5C43F9,EEC9874E-471B-40FA-8516-8CF1DDFEE364,Acer rubrum - red maple,39:20.0,39:38.0,,,,-73.89860702,40.88689864
real_red_maple_tree_data.445,,,,,,,-1,0,-1,,,4879841,11,Full,Fair,,8DE7CDB1-BEC9-4CCE-BEFA-58AB772D63FE,B3EC5D12-C079-46B0-A46D-D8EB9D938EE9,Acer rubrum - red maple,34:20.0,41:12.0,,,,-73.89871822,40.88706016
real_red_maple_tree_data.446,,,,,,,-1,0,-1,,,4879842,8,Full,Fair,,EC54AA52-A60E-49AC-A6C9-35C30FD4D128,D11A9326-0395-4B59-AFF5-6B6C734ECA5C,Acer rubrum - red maple,33:43.0,41:38.0,,,,-73.89860437,40.88708984
real_red_maple_tree_data.447,,,,,,,-1,0,-1,,,4879843,9,Full,Fair,,F659284F-ACD2-4159-B06D-C85D1804A4CB,C1D04316-91DA-4955-8D57-E64C7A056DF0,Acer rubrum - red maple,33:01.0,23:59.0,,,,-73.89857263,40.8871135
real_red_maple_tree_data.448,,,,,,,-1,0,-1,,,4879844,10,Full,Good,,F800A631-45B5-4E64-A631-2AC92D3651B7,A29BF701-2193-4C42-BE66-C1A7BA5E13A6,Acer rubrum - red maple,32:13.0,29:23.0,,,,-73.89852351,40.88710287
real_red_maple_tree_data.449,,,,,,,-1,0,-1,,,4879845,11,Full,Good,,2D3F0FA2-A3CF-4F8F-8260-003F05C5CC04,7A3C7B03-1A40-471E-B057-D691E54A09E1,Acer rubrum - red maple,30:54.0,15:19.0,,8,15:19.0,-73.89848011,40.88704909
real_red_maple_tree_data.450,,,,,,,-1,0,-1,,,4879846,12,Full,Fair,,6BA2977B-CEFB-4E76-893B-75853B91A2EF,"0D079D13-D269-4B40-A860-40FC68E5E6BD",Acer rubrum - red maple,30:27.0,23:28.0,,,,-73.89852099,40.88700267
real_red_maple_tree_data.451,,,,,,,-1,0,-1,,,4879859,12,Full,Fair,,71BAEE3A-7CE4-4D03-91D9-C1C0B1556520,A2B247AE-A33C-4AD6-A49D-4CD6CF8D92CA,Acer rubrum - red maple,"07:50.0",58:25.0,,,,-73.89855354,40.88686523
real_red_maple_tree_data.452,,,,,,,-1,0,-1,,,4879863,12,Full,Fair,,4E0BCE17-B4D5-4047-BCD3-AEFEAE9581D5,1A30D52D-974F-46EC-AD33-706588FFA850,Acer rubrum - red maple,57:43.0,53:20.0,,,,-73.89877352,40.88672247
real_red_maple_tree_data.453,,,,,,,-1,0,-1,,,4879866,15,Full,Fair,,CFA8AA30-79BE-4382-BCEB-552C54E63BEC,F3654C29-31D6-400B-806A-DB61BF9CDF18,Acer rubrum - red maple,53:07.0,22:56.0,,,,-73.89879101,40.88667782
real_red_maple_tree_data.454,,,,,,,-1,0,-1,,,4879868,13,Full,Fair,,95043FF1-D0AE-4906-9511-7DC16BEDACDA,8BC3F7E3-9A56-4FEC-B4A6-1E15A1C4B703,Acer rubrum - red maple,51:43.0,40:36.0,,,,-73.89895412,40.88666068
real_red_maple_tree_data.455,,,,,,,-1,0,-1,,,4879869,17,Full,Fair,,9933B92B-F2D6-464D-8236-3C384CC8A33A,"0D81177C-C54B-4ED2-A467-62B83BBE4355",Acer rubrum - red maple,48:33.0,51:58.0,,,,-73.89870055,40.88722393
real_red_maple_tree_data.456,,,,,,,-1,0,-1,,,4879870,17,Full,Fair,,4E7BD67F-1C5A-40E6-9B50-8C5A1294DB79,A784F6AB-5759-46F3-BB78-31D8337066C1,Acer rubrum - red maple,47:54.0,51:15.0,,,,-73.89868965,40.88716435
real_red_maple_tree_data.457,,,,,,,-1,0,-1,,,4879871,18,Full,Fair,,F7F71955-E5EF-4F79-852E-BFF64A7BB9E3,26D46C8E-5481-45B0-82B7-64FDCD97D805,Acer rubrum - red maple,47:23.0,48:52.0,,,,-73.89858134,40.88716069
real_red_maple_tree_data.458,,,,,,,-1,0,-1,,,4879873,11,Full,Fair,,43997169-4106-4E80-A2EB-DB13359B56BC,1CBBBDE6-5AC1-4915-810A-CB81BE173478,Acer rubrum - red maple,45:06.0,34:43.0,,,,-73.89884196,40.88713113
real_red_maple_tree_data.459,,,,,,,-1,0,-1,,,4879875,12,Full,Fair,,170B2B2E-1BAA-4260-B01B-78CC16A519B5,ADC160CC-C01A-464D-A9A8-D3DFA6FA8498,Acer rubrum - red maple,43:06.0,34:10.0,,,,-73.89901793,40.88702169
real_red_maple_tree_data.460,,,,,,,-1,0,-1,,,4879876,11,Full,Fair,,88122F0A-C6E1-4FB6-811A-6196DE7ED241,48DE16D9-BAEA-4659-8F8A-125B5369EE9C,Acer rubrum - red maple,41:37.0,50:01.0,,,,-73.89912965,40.88694913
real_red_maple_tree_data.461,,,,,,,-1,0,-1,,,4886741,25,Full,Good,,5EB2A29E-AD45-433D-B054-2B66CAC9B51B,4F89035F-53F3-4625-8CE5-60255CCF1771,Acer rubrum - red maple,41:55.0,16:34.0,,,,-73.89645262,40.88921344
real_red_maple_tree_data.462,,,,,,,-1,0,-1,,,4886747,31,Full,Fair,,CC51A7E6-EC3B-4300-9F74-7E467A921EC2,DF05FCB7-0F2C-45FE-9D16-D81D07607963,Acer rubrum - red maple,37:01.0,37:00.0,,,,-73.89669289,40.88917803
real_red_maple_tree_data.463,,,,,,,-1,0,-1,,,4886751,20,Full,Good,,78C633E8-09D8-4B4F-9DCC-9A3B103ECCED,BB0A7BBF-9155-4D94-A3F8-52E4BC532ACD,Acer rubrum - red maple,27:06.0,32:08.0,,,,-73.89646074,40.88906346
real_red_maple_tree_data.464,,,,,,,-1,0,-1,,,4886752,22,Full,Good,,4811E578-8F3C-4746-A5BD-BCA4D26D65D6,F122DC79-AA47-40E5-BAD2-BDD8D7F43280,Acer rubrum - red maple,24:44.0,30:43.0,,,,-73.89642623,40.88904556
real_red_maple_tree_data.465,,,,,,,-1,0,-1,,,4886753,26,Full,Good,,7108F91B-1D00-400D-91C3-93822BEBEA6A,D042EAF0-45C0-47FD-BEA2-3FE3EA1E36A5,Acer rubrum - red maple,23:32.0,31:17.0,,,,-73.89640266,40.88906579
real_red_maple_tree_data.466,,,,,,,-1,0,-1,,,4886756,33,Full,Fair,,6EB48AA6-378F-407D-9850-B8D9C39420EC,93272378-2C95-4DA3-8994-E7A7683451EE,Acer rubrum - red maple,14:48.0,28:24.0,,,,-73.89630861,40.88897398
real_red_maple_tree_data.467,,,,,,,-1,0,-1,,,4886757,27,Full,Fair,,B0C311B2-B0A6-4075-98C9-E7A0F79E20BB,C7EEAD85-335E-48C6-BC49-9A7C6D045BAA,Acer rubrum - red maple,14:04.0,29:55.0,,,,-73.89625201,40.88903468
real_red_maple_tree_data.468,,,,,,,-1,0,-1,,,4886781,6,Full,Fair,,843BC702-7678-4178-A1C9-1FF5EB8BD432,C08B459D-AE2E-4137-9E22-E9389CF0AE93,Acer rubrum - red maple,32:11.0,23:53.0,,,,-73.89587864,40.88888425
real_red_maple_tree_data.469,,,,,,,-1,0,-1,,,4886782,12,Full,Fair,,730EE607-47EC-452B-8C28-111EEBB768F9,BE4D1823-AE33-43C0-828D-FBC6FA82A0C0,Acer rubrum - red maple,31:23.0,34:38.0,,,,-73.89587394,40.88885136
real_red_maple_tree_data.470,,,,,,,-1,0,-1,,,4886783,11,Full,Fair,,AB39227E-9B49-40A9-B6D0-8FC75C084B7D,"029C4830-424E-4F82-A289-0AB0457D4272",Acer rubrum - red maple,30:41.0,35:33.0,,,,-73.89582767,40.88882988
real_red_maple_tree_data.471,,,,,,,-1,0,-1,,,4911668,0,Retired,Dead,53,"0BC24CD1-9604-473C-A677-7B298C55793B","01FCF5C3-A3CE-406E-AB96-1C9A20DB8F49",Acer rubrum - red maple,31:00.0,37:00.0,,9,26:00.0,-73.89517984,40.89067515
real_red_maple_tree_data.478,,,,,,,-1,0,-1,,,5081939,3,Full,Good,,"07D5234E-75DD-42D7-9BD1-914DF7DFD307","0A6F413A-0EA7-4BEA-8A2C-CA26D305B46E",Acer rubrum - red maple,32:23.0,32:33.0,,,,-73.89170448,40.89117687
real_red_maple_tree_data.479,,,,,,,-1,0,-1,,,5081940,2,Full,Good,,FC248C92-A104-4BD9-8902-BF0093F2D325,E54301EC-3160-4A59-9FA6-C6468348E620,Acer rubrum - red maple,31:53.0,31:58.0,,,,-73.89186307,40.891152
real_red_maple_tree_data.480,,,,,,,-1,0,-1,,,5081941,8,Full,Good,,7C2966EF-F045-49C3-B2F9-5D9C519E01FC,E9AA021B-D881-4256-9D7D-B5CEB6215D3C,Acer rubrum - red maple,31:00.0,24:00.0,,,,-73.89200201,40.89113758
real_red_maple_tree_data.481,,,,,,,-1,0,-1,,,5081942,7,Full,Good,,5CF39975-CC11-4771-AB65-920925D0B320,D9377EC8-8708-4F73-BD9B-D4B9F2A8ED8C,Acer rubrum - red maple,29:01.0,29:06.0,,,,-73.892097,40.89113078
real_red_maple_tree_data.482,,,,,,,-1,0,-1,,,5081943,11,Full,Good,,3808DDE0-8569-4BD3-B3F4-827C60EA1011,5AF3B4EB-D7A2-460C-B124-C2D1A31BDAAB,Acer rubrum - red maple,25:14.0,25:21.0,,,,-73.8920878,40.89099615
real_red_maple_tree_data.483,,,,,,,-1,0,-1,,,5081945,7,Full,Good,,417ADFC0-2895-4B04-B218-BB2F3AA33FD9,"0AE2F10A-7037-4E39-8ECC-44B49B7C8AB5",Acer rubrum - red maple,21:08.0,25:56.0,,,,-73.89226811,40.89112055
real_red_maple_tree_data.484,,,,,,,-1,0,-1,,,5081957,11,Full,Good,,A7F16868-129D-444E-B4D9-EC8DA7CE6298,6EE3C4B0-53A1-4B1E-A606-C592AE5E1C59,Acer rubrum - red maple,46:29.0,46:37.0,,,,-73.89226056,40.8909439
real_red_maple_tree_data.485,,,,,,,-1,0,-1,,,5081958,15,Shaft,Good,,A53A9E76-4D64-41EE-9BA4-2C8BADEB48DA,4C972F7F-7A07-45D3-B824-6F0754DE20D2,Acer rubrum - red maple,44:29.0,36:47.0,,,,-73.89217754,40.89102086
real_red_maple_tree_data.486,,,,,,,-1,0,-1,,,5081959,12,Full,Good,,A46BA254-57DD-4E11-B506-67D9424AA4E1,80CE90EC-3924-4790-A225-931AFA091F79,Acer rubrum - red maple,43:06.0,36:02.0,,,,-73.89219235,40.89108461
real_red_maple_tree_data.487,,,,,,,-1,0,-1,,,5081961,8,Full,Good,,2AFEDDD1-D6F9-4D48-8175-5E205FD7053C,1D4EE1C8-0C7A-4A21-B2D1-ACBC93F0E9E0,Acer rubrum - red maple,40:14.0,33:29.0,,,,-73.89249653,40.8911166
real_red_maple_tree_data.488,,,,,,,-1,0,-1,,,5081962,7,Full,Fair,,D42007F0-9E76-4DEE-B754-326C05C775D4,C401A4B7-2A18-4FDE-AF1F-C7D6C50CFB1C,Acer rubrum - red maple,37:42.0,32:18.0,,,,-73.89260799,40.89111194
real_red_maple_tree_data.489,,,,,,,-1,0,-1,,,5081965,10,Full,Good,,53C3D1C7-2403-4C25-B50C-EE27F090A199,D89D9F78-1702-47C1-A9C7-40285A61C7DB,Acer rubrum - red maple,30:57.0,41:28.0,,,,-73.89285479,40.89109416
real_red_maple_tree_data.490,,,,,,,-1,0,-1,,,5081966,11,Full,Good,,29092E5C-CA1C-4120-8EDA-AD2BDFA00934,576BC778-DBA0-45EE-A384-7D64487E2D7C,Acer rubrum - red maple,27:40.0,27:47.0,,,,-73.892962,40.89110656
real_red_maple_tree_data.491,,,,,,,-1,0,-1,,,5081967,7,Full,Good,,54BABA5B-56CE-45A7-BE12-9921652BF31C,73548828-C848-49E7-8EA3-EC4187D91C12,Acer rubrum - red maple,24:15.0,42:52.0,,,,-73.89307845,40.89111819
real_red_maple_tree_data.492,,,,,,,-1,0,-1,,,5081968,8,Full,Fair,,53525A8C-C23F-45F9-9986-C93C94F51775,4DCE211D-D276-41A7-A40E-D1BFAEC1A05B,Acer rubrum - red maple,22:27.0,44:35.0,,,,-73.89318283,40.89112127
real_red_maple_tree_data.493,,,,,,,-1,0,-1,,,5081969,8,Full,Fair,,FE24D515-4BA9-4DEA-A58A-0D45B9FDF9F3,52DEFD04-7471-420D-83AB-6A85074210B2,Acer rubrum - red maple,21:23.0,45:24.0,,,,-73.89329506,40.89112971
real_red_maple_tree_data.495,,,,,,,-1,0,-1,,,5083102,6,Full,Good,,815D5DD8-7412-4FAC-A537-7A26B562C55D,D5BA9BB5-8EE2-4EEA-87AB-DF4F61165A78,Acer rubrum - red maple,"01:46.0",29:51.0,,3,29:51.0,-73.87257537,40.90016171
real_red_maple_tree_data.566,,,,,,,-1,0,-1,,,5468573,17,Full,Fair,,757BBE0D-3370-4A94-A96F-B1CF9C3E48F4,F3BE06AB-C51A-41EC-B152-6BBD55755EB0,Acer rubrum - red maple,10:42.0,30:54.0,,8,11:43.0,-73.88145047,40.8916176
real_red_maple_tree_data.567,,,,,,,-1,0,-1,,,5575879,,Stump,Dead,40,CBC48FAA-D157-46E6-8267-D65A3DFF6EFD,46CB9A73-5F46-4474-83CA-9D19B40DB81F,Acer rubrum - red maple,11:11.0,35:09.0,,8,22:35.0,-73.8972497,40.89041527
real_red_maple_tree_data.568,,,,,,,-1,0,-1,,,5576153,2,Full,Fair,0,BB10F50C-1BCA-4CBF-8E17-AE3D3828FEF6,46750C05-6375-4399-967C-8303A77008CB,Acer rubrum - red maple,11:11.0,,,,,-73.89667122,40.8971808
real_red_maple_tree_data.569,,,,,,,-1,0,-1,,,5576156,15,Full,Good,0,5D7CDCB7-E8B3-4D0F-81CF-924A9DE50FB3,76037B6D-599F-45D4-AC7D-2FCCE323FCE0,Acer rubrum - red maple,11:11.0,,,,,-73.89548098,40.88995441
real_red_maple_tree_data.571,,,,,,,-1,0,-1,,,5576796,12,Full,Good,0,9FBBBD69-0F77-4D26-A5D8-66298217F757,169FCDB6-DE1B-4320-822C-6C5FEA68F2F4,Acer rubrum - red maple,11:11.0,,,,,-73.89199101,40.89107574
real_red_maple_tree_data.573,,,,,,,-1,0,-1,,,5578389,5,Full,Good,0,FB854A98-AADC-4181-9CD6-B0B53DE13D3F,3984F940-284A-4503-867C-009DF1D94219,Acer rubrum - red maple,11:11.0,,,,,-73.88386604,40.89168556
real_red_maple_tree_data.576,,,,,,,-1,0,-1,,,5578900,11,Full,Good,0,96FCF587-2A36-4B25-84B6-CD8C91AE4857,"0A55A981-284B-462E-9E5B-8719BC652A51",Acer rubrum - red maple,11:11.0,"07:31.0",,7,"07:31.0",-73.89258587,40.89059168
real_red_maple_tree_data.579,,,,,,,-1,0,-1,,,5580373,34,Full,Good,0,BEABDB6A-0B6A-4A42-ACEC-82F85CD03B89,2B7F3EB5-22A1-48A8-A151-1A02E5F08DFD,Acer rubrum - red maple,11:11.0,,,,,-73.88040381,40.89593274
real_red_maple_tree_data.580,,,,,,,-1,0,-1,,,5580826,32,Retired,Good,0,95CB66C2-C8A8-463F-A4FD-22C7C0910DDE,F0337543-61B3-4DBC-8B0A-628493767A1B,Acer rubrum - red maple,11:11.0,29:12.0,,,,-73.89674889,40.88889832
real_red_maple_tree_data.582,,,,,,,-1,0,-1,,,5581038,32,Full,Fair,,D30C20DA-272E-4D50-9901-3A228FEFFA45,DEF35962-CE03-4F9C-8566-DD6CC019E070,Acer rubrum - red maple,11:11.0,16:05.0,,9,16:05.0,-73.8968993,40.88923884
real_red_maple_tree_data.585,,,,,,,-1,0,-1,,,5581980,3,Full,Excellent,0,D255B1EB-C3B1-4DA2-B39F-D0F4FAF69CDB,A0B2A9D4-F981-4C23-8A0A-623B25ACB9E9,Acer rubrum - red maple,11:11.0,,,,,-73.89330297,40.8957556
real_red_maple_tree_data.586,,,,,,,-1,0,-1,,,5582047,4,Retired,Good,0,46F8342B-4AAF-401E-A27F-68F142E3965E,AC840676-A14E-4709-A1A4-567232462CF2,Acer rubrum - red maple,11:11.0,11:59.0,,,,-73.8725625,40.90020857
real_red_maple_tree_data.587,,,,,,,-1,0,-1,,,5582256,17,Full,Fair,0,47E40C89-80FC-4C73-9E13-12F3BB1398FB,35BE2BAC-1713-4C6B-8B64-F1A69F147DDA,Acer rubrum - red maple,11:11.0,,,,,-73.87979986,40.89906592
real_red_maple_tree_data.588,,,,,,,-1,0,-1,,,5582701,19,Full,Good,0,AC3B1139-EB53-45C4-924F-0484B200FE5E,3D679F17-AD9F-4F7B-BA64-7330FC974458,Acer rubrum - red maple,11:11.0,,,,,-73.89670159,40.88912882
real_red_maple_tree_data.590,,,,,,,-1,0,-1,,,5582746,21,Full,Good,0,EFE05CBF-DD37-48E8-B8CF-80A6FADB9977,E44D95B9-78E6-4551-853E-913E4B3489F1,Acer rubrum - red maple,11:11.0,,,,,-73.89718146,40.89056104
real_red_maple_tree_data.594,,,,,,,-1,0,-1,,,5583964,3,Full,Good,0,84C8CE3C-1183-4A1D-9996-BD98320B262D,66765ED5-A4EF-4B68-9962-CE0AD18789BC,Acer rubrum - red maple,11:11.0,,,,,-73.8777567,40.89667757
real_red_maple_tree_data.598,,,,,,,-1,0,-1,,,5585461,22,Full,Fair,,205612F7-3CF5-41D7-A346-E45F42948A99,867089E7-B107-4C61-8E9D-84B4FE9E3BB1,Acer rubrum - red maple,11:11.0,34:44.0,,9,34:44.0,-73.89684506,40.88915917
real_red_maple_tree_data.600,,,,,,,-1,0,-1,,,5586205,34,Stump,Dead,23,F5BCECF6-2C35-4BBB-A873-7B2F6E7A8761,23E7D5FB-D3AF-4388-B2EE-98837328B7A2,Acer rubrum - red maple,11:00.0,35:18.0,,9,11:00.0,-73.89478406,40.90297771
real_red_maple_tree_data.602,,,,,,,-1,0,-1,,,5586623,2,Full,Good,0,43500A35-977B-470D-A150-63E710194035,667A0184-AA11-41DC-9B48-FDB658B84959,Acer rubrum - red maple,11:11.0,,,,,-73.89674861,40.89761153
real_red_maple_tree_data.606,,,,,,,-1,0,-1,,,5587486,12,Full,Good,0,9C987911-F0E8-4215-A552-C5569A94E2B0,1A9165F1-B7EE-4142-ADE1-D5F665C163A9,Acer rubrum - red maple,11:11.0,14:18.0,,6,14:17.0,-73.8928425,40.89061938
real_red_maple_tree_data.607,,,,,,,-1,0,-1,,,5587491,23,Full,Good,0,F05B3F6A-7087-4C3F-BC24-FFD5CE7FAB2B,F4E6269B-D34D-4611-83BA-395EEC6B3609,Acer rubrum - red maple,11:11.0,,,,,-73.89719799,40.89046145
real_red_maple_tree_data.608,,,,,,,-1,0,-1,,,5587756,14,Full,Good,0,2F85F5AE-1C5B-4A6C-9A75-D88A65B260E6,57DEEEB3-E760-4328-B9A8-3E2F9324B115,Acer rubrum - red maple,11:11.0,"08:30.0",,7,"08:29.0",-73.89264274,40.89061458
real_red_maple_tree_data.609,,,,,,,-1,0,-1,,,5588189,5,Stump,Dead,10,6B048837-C9AB-46A2-B745-24B7776D47DD,6E89D21B-1EE6-4F1D-8100-73FF8BFE14D2,Acer rubrum - red maple,11:11.0,36:10.0,,9,18:25.0,-73.89468452,40.90284196
real_red_maple_tree_data.610,,,,,,,-1,0,-1,,,5589072,23,Stump,Dead,36,DB4FB816-CB5E-4BFD-BE99-52EC6DB04EEC,C945E453-DB75-4A6A-96FE-A45584A981D9,Acer rubrum - red maple,11:11.0,34:04.0,,9,48:48.0,-73.89483735,40.90298805
real_red_maple_tree_data.613,,,,,,,-1,0,-1,,,5589914,2,Full,Critical,,B424F0AA-BF99-4FEE-8937-E37EF73111A4,"034ECCB8-5EB8-4B39-A91A-6F26BC5EF8B6",Acer rubrum - red maple,11:11.0,35:44.0,,,,-73.89627613,40.89334479
real_red_maple_tree_data.615,,,,,,,-1,0,-1,,,5590067,5,Full,Good,0,3ECA8AB9-2A50-415D-9770-E44DCDD31DEE,9D4EB3F9-165C-4E0D-B108-BA569C709ACD,Acer rubrum - red maple,11:11.0,,,,,-73.88372764,40.89122387
real_red_maple_tree_data.616,,,,,,,-1,0,-1,,,5590241,6,Full,Good,0,7520D35C-A195-4BDC-A889-578DE4701F39,"00476B2E-D40E-4C5A-9BED-3AF53AC983DB",Acer rubrum - red maple,11:11.0,20:32.0,,4,20:32.0,-73.89360864,40.8906497
real_red_maple_tree_data.618,,,,,,,-1,0,-1,,,5590723,27,Full,Good,0,444D0CC6-8FEB-4B6B-BEFE-28E684FC1809,"0937CB12-B59B-49D7-AAA3-2E787CDE5075",Acer rubrum - red maple,11:11.0,,,,,-73.89664663,40.88905534
real_red_maple_tree_data.619,,,,,,,-1,0,-1,,,5590905,11,Full,Good,0,E25E8E3C-AFE6-4995-8ABD-6885424AC756,8C51938B-44C6-4590-B19B-99544CBC0CF4,Acer rubrum - red maple,11:11.0,,,,,-73.88366672,40.8911878
real_red_maple_tree_data.622,,,,,,,-1,0,-1,,,5591997,19,Full,Good,0,D18AE453-88C4-4B9C-9898-581081E73BB3,41982DEA-629D-4277-A327-1F1079ED30D0,Acer rubrum - red maple,11:11.0,,,,,-73.88272772,40.89270791
real_red_maple_tree_data.624,,,,,,,-1,0,-1,,,5592358,8,Full,Good,0,ED594E62-360F-4417-A31B-DD20357C2E88,16999490-9E32-47D3-B55C-1CDC8F74D206,Acer rubrum - red maple,11:11.0,,,,,-73.89887766,40.88698081
real_red_maple_tree_data.626,,,,,,,-1,0,-1,,,5592607,35,Full,Good,0,468CA332-B41C-49CA-ACD4-234AFCFD26A5,5BC70164-B9D3-455C-9AAE-ED5BB90B4AFA,Acer rubrum - red maple,11:11.0,,,,,-73.88242424,40.88353828
real_red_maple_tree_data.627,,,,,,,-1,0,-1,,,5592829,7,Full,Good,0,66C56B24-4136-4CBD-A83C-921C93F52CBE,A8BD9C9D-48DA-4F1B-A51C-DFC0D2A56726,Acer rubrum - red maple,11:11.0,,,,,-73.89525505,40.89870244
real_red_maple_tree_data.628,,,,,,,-1,0,-1,,,5592918,18,Full,Good,0,E3EE7D24-9617-4D96-B8BC-E77471433E70,BF03BE14-9900-4662-9552-6DA25CBEB3F9,Acer rubrum - red maple,11:11.0,,,,,-73.89679559,40.89056998
